,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2019-06-18,6.44,6.61,6.22,6.25,OGI,711090,HISTORICAL_PRICES,OGI,,1606830572000,-0.17541613316261195,-0.17541613316261195,6.25,6.44,6.61,6.22,711090,6.25,6.44,6.61,6.22,711090,"Jun 18, 19",0.22000000000000064,0.0354
2019-06-19,6.25,6.5,6.21,6.44,OGI,708109,HISTORICAL_PRICES,OGI,,1606830572000,-0.19974391805377717,-0.19974391805377717,6.44,6.25,6.5,6.21,708109,6.44,6.25,6.5,6.21,708109,"Jun 19, 19",-0.1900000000000004,-0.0295
2019-06-20,6.39,6.49,6.33,6.42,OGI,701851,HISTORICAL_PRICES,OGI,,1606830572000,-0.18181818181818182,-0.18181818181818182,6.42,6.39,6.49,6.33,701851,6.42,6.39,6.49,6.33,701851,"Jun 20, 19",0.13999999999999968,0.0224
2019-06-21,6.36,6.4,6.1,6.2,OGI,819485,HISTORICAL_PRICES,OGI,,1606830572000,-0.1856594110115236,-0.1856594110115236,6.2,6.36,6.4,6.1,819485,6.2,6.36,6.4,6.1,819485,"Jun 21, 19",-0.02999999999999936,-0.0047
2019-06-24,6.29,6.48,6.15,6.47,OGI,775624,HISTORICAL_PRICES,OGI,,1606830572000,-0.19462227912932134,-0.19462227912932134,6.47,6.29,6.48,6.15,775624,6.47,6.29,6.48,6.15,775624,"Jun 24, 19",-0.07000000000000028,-0.011
2019-06-25,6.05,6.32,6.02,6.3,OGI,624000,HISTORICAL_PRICES,OGI,,1606830572000,-0.22535211267605632,-0.22535211267605632,6.3,6.05,6.32,6.02,624000,6.3,6.05,6.32,6.02,624000,"Jun 25, 19",-0.2400000000000002,-0.0382
2019-06-26,6.21,6.32,6.07,6.19,OGI,566745,HISTORICAL_PRICES,OGI,,1606830572000,-0.204865556978233,-0.204865556978233,6.19,6.21,6.32,6.07,566745,6.19,6.21,6.32,6.07,566745,"Jun 26, 19",0.16000000000000014,0.0264
2019-06-27,6.41,6.53,6.15,6.2,OGI,597780,HISTORICAL_PRICES,OGI,,1606830572000,-0.17925736235595385,-0.17925736235595385,6.2,6.41,6.53,6.15,597780,6.2,6.41,6.53,6.15,597780,"Jun 27, 19",0.20000000000000018,0.0322
2019-06-28,6.44,6.595,6.41,6.41,OGI,492526,HISTORICAL_PRICES,OGI,,1606830572000,-0.17541613316261195,-0.17541613316261195,6.41,6.44,6.595,6.41,492526,6.41,6.44,6.595,6.41,492526,"Jun 28, 19",0.03000000000000025,0.0047
2019-07-01,6.58,6.7,6.5,6.56,OGI,453395,HISTORICAL_PRICES,OGI,,1606830572000,-0.1574903969270166,-0.1574903969270166,6.56,6.58,6.7,6.5,453395,6.56,6.58,6.7,6.5,453395,"Jul 1, 19",0.13999999999999968,0.0217
2019-07-02,6.29,6.68,6.25,6.62,OGI,574416,HISTORICAL_PRICES,OGI,,1606830572000,-0.19462227912932134,-0.19462227912932134,6.62,6.29,6.68,6.25,574416,6.62,6.29,6.68,6.25,574416,"Jul 2, 19",-0.29000000000000004,-0.0441
2019-07-03,6.52,6.6,6.37,6.42,OGI,892445,HISTORICAL_PRICES,OGI,,1606830572000,-0.1651728553137004,-0.1651728553137004,6.42,6.52,6.6,6.37,892445,6.42,6.52,6.6,6.37,892445,"Jul 3, 19",0.22999999999999954,0.0366
2019-07-05,6.56,6.59,6.39,6.51,OGI,446789,HISTORICAL_PRICES,OGI,,1606830572000,-0.16005121638924458,-0.16005121638924458,6.51,6.56,6.59,6.39,446789,6.51,6.56,6.59,6.39,446789,"Jul 5, 19",0.040000000000000036,0.0061
2019-07-08,7.08,7.19,6.51,6.58,OGI,1830568,HISTORICAL_PRICES,OGI,,1606830572000,-0.09346991037131877,-0.09346991037131877,6.58,7.08,7.19,6.51,1830568,6.58,7.08,7.19,6.51,1830568,"Jul 8, 19",0.5200000000000005,0.0793
2019-07-09,6.92,7.31,6.77,7.29,OGI,2386970,HISTORICAL_PRICES,OGI,,1606830572000,-0.11395646606914209,-0.11395646606914209,7.29,6.92,7.31,6.77,2386970,7.29,6.92,7.31,6.77,2386970,"Jul 9, 19",-0.16000000000000014,-0.0226
2019-07-10,6.63,7.01,6.56,6.96,OGI,1491541,HISTORICAL_PRICES,OGI,,1606830572000,-0.15108834827144682,-0.15108834827144682,6.96,6.63,7.01,6.56,1491541,6.96,6.63,7.01,6.56,1491541,"Jul 10, 19",-0.29000000000000004,-0.0419
2019-07-11,6.28,6.7,6.21,6.68,OGI,1802845,HISTORICAL_PRICES,OGI,,1606830572000,-0.19590268886043527,-0.19590268886043527,6.68,6.28,6.7,6.21,1802845,6.68,6.28,6.7,6.21,1802845,"Jul 11, 19",-0.34999999999999964,-0.0528
2019-07-12,5.83,6.3158,5.77,6.3,OGI,3120481,HISTORICAL_PRICES,OGI,,1606830572000,-0.2535211267605633,-0.2535211267605633,6.3,5.83,6.3158,5.77,3120481,6.3,5.83,6.3158,5.77,3120481,"Jul 12, 19",-0.4500000000000002,-0.0717
