,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-02-17,4.15,4.204,4.1,4.15,KNDI,134087,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4113475177304964,-0.4113475177304964,4.15,4.15,4.204,4.1,134087,4.15,4.15,4.204,4.1,134087,"Feb 17, 17",-0.09999999999999964,-0.0235
2017-02-21,4.1,4.25,4.1,4.1,KNDI,179139,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4184397163120568,-0.4184397163120568,4.1,4.1,4.25,4.1,179139,4.1,4.1,4.25,4.1,179139,"Feb 21, 17",-0.05000000000000071,-0.012
2017-02-22,4.25,4.25,4.1,4.1,KNDI,159414,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.1,4.25,4.25,4.1,159414,4.1,4.25,4.25,4.1,159414,"Feb 22, 17",0.15000000000000036,0.0366
2017-02-23,4.15,4.225,4.1,4.2,KNDI,157888,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4113475177304964,-0.4113475177304964,4.2,4.15,4.225,4.1,157888,4.2,4.15,4.225,4.1,157888,"Feb 23, 17",-0.09999999999999964,-0.0235
2017-02-24,4.15,4.15,4.05,4.1,KNDI,156776,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4113475177304964,-0.4113475177304964,4.1,4.15,4.15,4.05,156776,4.1,4.15,4.15,4.05,156776,"Feb 24, 17",0,0
2017-02-27,4,4.1,4,4.05,KNDI,175958,HISTORICAL_PRICES,KNDI,,1606830572000,-0.43262411347517726,-0.43262411347517726,4.05,4,4.1,4,175958,4.05,4,4.1,4,175958,"Feb 27, 17",-0.15000000000000036,-0.0361
2017-02-28,4.1,4.1,4,4,KNDI,215955,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4184397163120568,-0.4184397163120568,4,4.1,4.1,4,215955,4,4.1,4.1,4,215955,"Feb 28, 17",0.09999999999999964,0.025
2017-03-01,4.05,4.11,4.05,4.1,KNDI,144277,HISTORICAL_PRICES,KNDI,,1606830572000,-0.425531914893617,-0.425531914893617,4.1,4.05,4.11,4.05,144277,4.1,4.05,4.11,4.05,144277,"Mar 1, 17",-0.04999999999999982,-0.0122
2017-03-02,4.15,4.15,4.05,4.05,KNDI,97447,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4113475177304964,-0.4113475177304964,4.05,4.15,4.15,4.05,97447,4.05,4.15,4.15,4.05,97447,"Mar 2, 17",0.10000000000000053,0.0247
2017-03-03,4.2,4.2,4.15,4.15,KNDI,158289,HISTORICAL_PRICES,KNDI,,1606830572000,-0.40425531914893614,-0.40425531914893614,4.15,4.2,4.2,4.15,158289,4.15,4.2,4.2,4.15,158289,"Mar 3, 17",0.04999999999999982,0.012
2017-03-06,4.15,4.199,4.0499,4.15,KNDI,154821,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4113475177304964,-0.4113475177304964,4.15,4.15,4.199,4.0499,154821,4.15,4.15,4.199,4.0499,154821,"Mar 6, 17",-0.04999999999999982,-0.0119
2017-03-07,4,4.15,4,4.15,KNDI,119016,HISTORICAL_PRICES,KNDI,,1606830572000,-0.43262411347517726,-0.43262411347517726,4.15,4,4.15,4,119016,4.15,4,4.15,4,119016,"Mar 7, 17",-0.15000000000000036,-0.0361
2017-03-08,4.05,4.1,4,4,KNDI,154627,HISTORICAL_PRICES,KNDI,,1606830572000,-0.425531914893617,-0.425531914893617,4,4.05,4.1,4,154627,4,4.05,4.1,4,154627,"Mar 8, 17",0.04999999999999982,0.0125
2017-03-09,4.05,4.1,4,4,KNDI,136541,HISTORICAL_PRICES,KNDI,,1606830572000,-0.425531914893617,-0.425531914893617,4,4.05,4.1,4,136541,4,4.05,4.1,4,136541,"Mar 9, 17",0,0
2017-03-10,4.25,4.25,4.15,4.15,KNDI,443331,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.15,4.25,4.25,4.15,443331,4.15,4.25,4.25,4.15,443331,"Mar 10, 17",0.20000000000000018,0.0494
2017-03-13,4.35,4.35,4.3,4.3,KNDI,232302,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3829787234042554,-0.3829787234042554,4.3,4.35,4.35,4.3,232302,4.3,4.35,4.35,4.3,232302,"Mar 13, 17",0.09999999999999964,0.0235
2017-03-14,4.05,4.1,4,4.1,KNDI,513235,HISTORICAL_PRICES,KNDI,,1606830572000,-0.425531914893617,-0.425531914893617,4.1,4.05,4.1,4,513235,4.1,4.05,4.1,4,513235,"Mar 14, 17",-0.2999999999999998,-0.069
2017-03-15,4.05,4.15,4,4.05,KNDI,197723,HISTORICAL_PRICES,KNDI,,1606830572000,-0.425531914893617,-0.425531914893617,4.05,4.05,4.15,4,197723,4.05,4.05,4.15,4,197723,"Mar 15, 17",0,0
