,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-06-29,3.75,3.78,3.645,3.75,GNW,4367590,HISTORICAL_PRICES,GNW,,1606830572000,0.3489208633093526,0.3489208633093526,3.75,3.75,3.78,3.645,4367590,3.75,3.75,3.78,3.645,4367590,"Jun 29, 17",0.020000000000000018,0.0054
2017-06-30,3.77,3.79,3.66,3.75,GNW,3907483,HISTORICAL_PRICES,GNW,,1606830572000,0.3561151079136692,0.3561151079136692,3.75,3.77,3.79,3.66,3907483,3.75,3.77,3.79,3.66,3907483,"Jun 30, 17",0.020000000000000018,0.0053
2017-07-03,3.77,3.8399,3.75,3.77,GNW,2156278,HISTORICAL_PRICES,GNW,,1606830572000,0.3561151079136692,0.3561151079136692,3.77,3.77,3.8399,3.75,2156278,3.77,3.77,3.8399,3.75,2156278,"Jul 3, 17",0,0
2017-07-05,3.73,3.79,3.68,3.77,GNW,3829913,HISTORICAL_PRICES,GNW,,1606830572000,0.34172661870503607,0.34172661870503607,3.77,3.73,3.79,3.68,3829913,3.77,3.73,3.79,3.68,3829913,"Jul 5, 17",-0.040000000000000036,-0.0106
2017-07-06,3.67,3.77,3.65,3.72,GNW,3762173,HISTORICAL_PRICES,GNW,,1606830572000,0.3201438848920864,0.3201438848920864,3.72,3.67,3.77,3.65,3762173,3.72,3.67,3.77,3.65,3762173,"Jul 6, 17",-0.06000000000000005,-0.0161
2017-07-07,3.65,3.7,3.63,3.67,GNW,3033464,HISTORICAL_PRICES,GNW,,1606830572000,0.31294964028776984,0.31294964028776984,3.67,3.65,3.7,3.63,3033464,3.67,3.65,3.7,3.63,3033464,"Jul 7, 17",-0.020000000000000018,-0.0054
2017-07-10,3.57,3.765,3.56,3.64,GNW,9854028,HISTORICAL_PRICES,GNW,,1606830572000,0.2841726618705036,0.2841726618705036,3.64,3.57,3.765,3.56,9854028,3.64,3.57,3.765,3.56,9854028,"Jul 10, 17",-0.08000000000000007,-0.0219
2017-07-11,3.44,3.66,3.41,3.59,GNW,8859318,HISTORICAL_PRICES,GNW,,1606830572000,0.23741007194244612,0.23741007194244612,3.59,3.44,3.66,3.41,8859318,3.59,3.44,3.66,3.41,8859318,"Jul 11, 17",-0.1299999999999999,-0.0364
2017-07-12,3.48,3.57,3.44,3.44,GNW,5632331,HISTORICAL_PRICES,GNW,,1606830572000,0.25179856115107924,0.25179856115107924,3.44,3.48,3.57,3.44,5632331,3.44,3.48,3.57,3.44,5632331,"Jul 12, 17",0.040000000000000036,0.0116
2017-07-13,3.44,3.53,3.42,3.47,GNW,5624357,HISTORICAL_PRICES,GNW,,1606830572000,0.23741007194244612,0.23741007194244612,3.47,3.44,3.53,3.42,5624357,3.47,3.44,3.53,3.42,5624357,"Jul 13, 17",-0.040000000000000036,-0.0115
2017-07-14,3.57,3.63,3.51,3.53,GNW,6294770,HISTORICAL_PRICES,GNW,,1606830572000,0.2841726618705036,0.2841726618705036,3.53,3.57,3.63,3.51,6294770,3.53,3.57,3.63,3.51,6294770,"Jul 14, 17",0.1299999999999999,0.0378
2017-07-17,3.45,3.619,3.43,3.56,GNW,4912722,HISTORICAL_PRICES,GNW,,1606830572000,0.24100719424460446,0.24100719424460446,3.56,3.45,3.619,3.43,4912722,3.56,3.45,3.619,3.43,4912722,"Jul 17, 17",-0.11999999999999966,-0.0336
2017-07-18,3.41,3.475,3.39,3.45,GNW,3837738,HISTORICAL_PRICES,GNW,,1606830572000,0.22661870503597137,0.22661870503597137,3.45,3.41,3.475,3.39,3837738,3.45,3.41,3.475,3.39,3837738,"Jul 18, 17",-0.040000000000000036,-0.0116
2017-07-19,3.47,3.51,3.41,3.43,GNW,3785769,HISTORICAL_PRICES,GNW,,1606830572000,0.248201438848921,0.248201438848921,3.43,3.47,3.51,3.41,3785769,3.43,3.47,3.51,3.41,3785769,"Jul 19, 17",0.06000000000000005,0.0176
2017-07-20,3.5,3.53,3.45,3.49,GNW,2991820,HISTORICAL_PRICES,GNW,,1606830572000,0.2589928057553958,0.2589928057553958,3.49,3.5,3.53,3.45,2991820,3.49,3.5,3.53,3.45,2991820,"Jul 20, 17",0.029999999999999805,0.0086
2017-07-21,3.5,3.61,3.45,3.52,GNW,2864406,HISTORICAL_PRICES,GNW,,1606830572000,0.2589928057553958,0.2589928057553958,3.52,3.5,3.61,3.45,2864406,3.52,3.5,3.61,3.45,2864406,"Jul 21, 17",0,0
